id,parent_id,parent_ids,name,sort,code,type,remarks,create_by,create_date,update_by,update_date,del_flag
1,0,"0,",中国,10,100000,1,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
2,1,"0,1,",陕西省,20,710000,2,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
3,2,"0,1,2,",西安市区,30,710000,3,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
4,3,"0,1,2,3,",新城区,40,710043,4,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
5,3,"0,1,2,3,",雁塔区,50,710065,4,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
6,3,"0,1,2,3,",高新区,60,710065,4,,1,"2019-08-01 00:00:00",1,"2019-08-01 00:00:00",0
